County,bdod,cec,clay,nitrogen,phh2o,sand,silt,soc
Adams County,132,163,192,698,60,489,319,375
Ashland County,115,249,258,601,51,216,526,605
Barron County,133,150,185,516,55,317,498,677
Bayfield County,111,266,187,545,50,480,333,668
Brown County,134,289,308,781,66,328,364,429
Buffalo County,122,189,210,613,58,206,583,547
Burnett County,127,199,161,753,51,659,180,548
Calumet County,134,210,272,1105,65,240,489,435
Chippewa County,133,235,196,623,58,470,334,467
Clark County,133,238,180,625,56,268,552,564
Columbia County,133,182,260,1119,61,212,528,451
Crawford County,130,216,255,974,62,144,601,629
Dane County,122,272,350,1133,58,172,478,700
Dodge County,135,231,264,1463,64,133,603,411
Door County,125,276,209,967,55,539,252,688
Douglas County,111,253,119,545,51,452,429,570
Dunn County,121,229,200,616,58,377,423,705
Eau Claire County,132,198,194,654,57,403,403,465
Florence County,108,188,89,546,51,431,480,513
Fond du Lac County,139,218,359,865,65,181,459,344
Forest County,112,152,83,735,51,464,453,448
Grant County,135,211,247,559,64,90,663,441
Green County,137,213,288,775,66,98,614,409
Green Lake County,133,174,289,1244,60,192,518,437
Iowa County,131,210,308,974,62,119,573,517
Iron County,110,223,147,725,48,429,425,672
Jackson County,132,138,130,660,49,698,172,463
Jefferson County,140,244,319,1483,61,141,541,452
Juneau County,135,174,245,671,59,393,362,472
Kenosha County,139,259,334,1240,67,145,522,522
Kewaunee County,132,293,193,780,64,441,366,621
La Crosse County,134,191,223,434,64,126,651,428
Lafayette County,132,235,284,817,65,69,647,393
Langlade County,104,306,126,892,51,390,484,865
Lincoln County,113,204,123,788,50,415,462,741
Manitowoc County,133,270,327,865,62,407,266,642
Marathon County,120,195,141,515,55,315,544,452
Marinette County,116,193,84,856,55,594,322,540
Marquette County,126,158,280,1126,55,371,349,512
Menominee County,119,166,97,900,51,590,314,546
Milwaukee County,142,286,308,690,67,215,477,464
Monroe County,128,148,172,700,56,301,527,453
Oconto County,130,181,87,686,66,525,388,463
Oneida County,116,174,102,517,49,592,306,480
Outagamie County,131,207,254,1264,65,338,408,478
Ozaukee County,129,230,253,906,60,249,499,621
Pepin County,127,218,212,593,58,213,575,740
Pierce County,135,249,185,509,60,258,557,467
Polk County,119,239,166,628,56,364,470,662
Portage County,123,221,167,637,55,544,289,431
Price County,121,168,144,497,53,424,432,653
Racine County,136,233,300,858,65,315,384,516
Richland County,133,178,198,765,64,228,574,427
Rock County,135,223,356,1242,64,135,509,390
Rusk County,121,182,108,587,51,391,501,558
St. Croix County,133,239,174,578,60,356,471,482
Sauk County,131,185,240,746,61,146,613,438
Sawyer County,111,195,104,688,50,487,408,524
Shawano County,126,165,116,993,54,560,324,507
Sheboygan County,135,235,282,719,67,324,394,396
Taylor County,115,212,153,543,50,236,611,603
Trempealeau County,136,200,210,602,58,318,472,539
Vernon County,129,210,247,479,62,167,587,427
Vilas County,109,205,125,556,49,442,433,576
Walworth County,139,221,229,1449,63,195,576,422
Washburn County,120,214,116,538,52,481,403,594
Washington County,126,215,292,1255,59,242,466,653
Waukesha County,136,189,277,912,64,153,570,374
Waupaca County,132,169,236,1029,60,411,353,468
Waushara County,132,187,158,918,60,555,287,494
Winnebago County,128,225,385,876,63,184,430,527
Wood County,133,208,242,586,57,321,437,443
